,pt_BR,en
DEV LIBERADA,DEV LIBERADA,DEV UNLOCKED
★ CONQUISTA,★ CONQUISTA,★ ACHIEVEMENT
★ CONQUISTA SECRETA,★ CONQUISTA SECRETA,★ SECRET ACHIEVEMENT
RECOMPENSA OBTIDA,RECOMPENSA OBTIDA,REWARD OBTAINED
CONQUISTA • %d/%d,CONQUISTA • %d/%d,ACHIEVEMENT • %d/%d
CONQUISTA: %s,CONQUISTA: %s,ACHIEVEMENT: %s
Continue jogando para desbloquear.,Continue jogando para desbloquear.,Keep playing to unlock.
ESTILO DE TIRO,ESTILO DE TIRO,SHOT STYLE
DETONADOR DA MINA,DETONADOR DA MINA,MINE DETONATOR
PRISMA,PRISMA,PRISM
PREDADOR,PREDADOR,PREDATOR
RICOCHETE,RICOCHETE,RICOCHET
IMPACTO PESADO,IMPACTO PESADO,HEAVY IMPACT
ESTILHAÇOS,ESTILHAÇOS,SHRAPNEL
TEMPESTADE,TEMPESTADE,STORM
SINGULARIDADE,SINGULARIDADE,SINGULARITY
REATOR,REATOR,REACTOR
PROXIMIDADE,PROXIMIDADE,PROXIMITY
COMANDO REMOTO,COMANDO REMOTO,REMOTE COMMAND
LIVRE,LIVRE,FREE
%s   •   %d MELHORIA(S) PRÓPRIA(S),%s   •   %d MELHORIA(S) PRÓPRIA(S),%s   •   %d UNIQUE UPGRADE(S)
ESTILO DE TIRO: %s   •   SUPERMOD: %s,ESTILO DE TIRO: %s   •   SUPERMOD: %s,SHOT STYLE: %s   •   SUPERMOD: %s
ROTA: %s • %s,ROTA: %s • %s,PATH: %s • %s
EXCLUSIVO DA ARMA EQUIPADA,EXCLUSIVO DA ARMA EQUIPADA,EXCLUSIVE TO EQUIPPED WEAPON
EXCLUSIVO DA HABILIDADE EQUIPADA,EXCLUSIVO DA HABILIDADE EQUIPADA,EXCLUSIVE TO EQUIPPED ABILITY
SEM PRÉ-REQUISITOS,SEM PRÉ-REQUISITOS,NO PREREQUISITES
REQUER: %s,REQUER: %s,REQUIRES: %s
ARMA PADRÃO,ARMA PADRÃO,DEFAULT WEAPON
LUA DA SIZÍGIA,LUA DA SIZÍGIA,MOON OF SYZYGY
SOL DA SIZÍGIA,SOL DA SIZÍGIA,SUN OF SYZYGY
SIZÍGIA ETERNA — ECLIPSE ABSOLUTO,SIZÍGIA ETERNA — ECLIPSE ABSOLUTO,ETERNAL SYZYGY — ABSOLUTE ECLIPSE
"MARÉS, CRATERAS E A FACE OCULTA","MARÉS, CRATERAS E A FACE OCULTA","TIDES, CRATERS, AND THE FAR SIDE"
CORONA INCANDESCENTE — QUEIMADURA NÃO ACUMULA,CORONA INCANDESCENTE — QUEIMADURA NÃO ACUMULA,BLAZING CORONA — BURN DOES NOT STACK
TOTALIDADE — SOBREVIVA À UNIÃO DOS ASTROS,TOTALIDADE — SOBREVIVA À UNIÃO DOS ASTROS,TOTALITY — SURVIVE THE UNION OF THE CELESTIAL BODIES
PET-0: O RESÍDUO ETERNO,PET-0: O RESÍDUO ETERNO,PET-0: THE ETERNAL REMNANT
CAOS PRIMAVERIL,CAOS PRIMAVERIL,SPRING CHAOS
SIZÍGIA ETERNA,SIZÍGIA ETERNA,ETERNAL SYZYGY
ANOMALIA DO VAZIO,ANOMALIA DO VAZIO,VOID ANOMALY
ESCUDO  •  -52% DANO,ESCUDO  •  -52% DANO,SHIELD  •  -52% DAMAGE
ELO  •  DANO COMPARTILHADO,ELO  •  DANO COMPARTILHADO,BOND  •  SHARED DAMAGE
NÓ  •  RESISTÊNCIA,NÓ  •  RESISTÊNCIA,KNOT  •  RESISTANCE
FORMAÇÃO ORBITAL,FORMAÇÃO ORBITAL,ORBITAL FORMATION
✦  SINAL DO VAZIO RECEBIDO  ✦,✦  SINAL DO VAZIO RECEBIDO  ✦,✦  VOID SIGNAL RECEIVED  ✦
"Se o Android perguntar, permita instalar desta fonte. Escolha Atualizar e não desinstale o jogo.","Se o Android perguntar, permita instalar desta fonte. Escolha Atualizar e não desinstale o jogo.","If Android asks, allow installation from this source. Choose Update and do not uninstall the game."
0%  •  preparando,0%  •  preparando,0%  •  preparing
ATUALIZAR AGORA,ATUALIZAR AGORA,UPDATE NOW
Nenhum controle conectado.,Nenhum controle conectado.,No controller connected.
Não foi possível iniciar o download da atualização.,Não foi possível iniciar o download da atualização.,Could not start the update download.
Falha ao baixar a atualização (HTTP %d).,Falha ao baixar a atualização (HTTP %d).,Failed to download the update (HTTP %d).
O arquivo baixado não foi encontrado.,O arquivo baixado não foi encontrado.,The downloaded file was not found.
A verificação de integridade da atualização falhou.,A verificação de integridade da atualização falhou.,The update integrity check failed.
Updater.exe não foi encontrado ao lado do jogo.,Updater.exe não foi encontrado ao lado do jogo.,Updater.exe was not found beside the game.
A pasta do jogo não permite alterações. Mova o jogo para uma pasta do seu usuário.,A pasta do jogo não permite alterações. Mova o jogo para uma pasta do seu usuário.,The game folder does not allow changes. Move the game to a folder owned by your user account.
Não foi possível iniciar o atualizador do Windows.,Não foi possível iniciar o atualizador do Windows.,Could not start the Windows updater.
LABORATÓRIO DE TESTES,LABORATÓRIO DE TESTES,TEST LABORATORY
Somente modo desenvolvedor • F10 ou L3+R3 • ESC volta ao jogo,Somente modo desenvolvedor • F10 ou L3+R3 • ESC volta ao jogo,Developer mode only • F10 or L3+R3 • ESC returns to the game
PROGRESSÃO E ESTADO,PROGRESSÃO E ESTADO,PROGRESSION AND STATE
+1 PONTO,+1 PONTO,+1 POINT
+1 NÍVEL,+1 NÍVEL,+1 LEVEL
+5 NÍVEIS,+5 NÍVEIS,+5 LEVELS
CURAR,CURAR,HEAL
INVULNERÁVEL,INVULNERÁVEL,INVULNERABLE
PAUSAR SPAWNS,PAUSAR SPAWNS,PAUSE SPAWNS
LIMPAR ARENA,LIMPAR ARENA,CLEAR ARENA
REINICIAR,REINICIAR,RESTART
INVOCAR BOSS PARA TESTE,INVOCAR BOSS PARA TESTE,SUMMON BOSS FOR TESTING
FLOR,FLOR,FLOWER
SIZÍGIA,SIZÍGIA,SYZYGY
AMPARO,AMPARO,CARE
AMETISTA,AMETISTA,AMETHYST
PAUSADOS,PAUSADOS,PAUSED
ATIVOS,ATIVOS,ACTIVE
%s  •  LVL %d  •  PONTOS %d  •  INVULN %s  •  SPAWNS %s,%s  •  LVL %d  •  PONTOS %d  •  INVULN %s  •  SPAWNS %s,%s  •  LVL %d  •  POINTS %d  •  INVULN %s  •  SPAWNS %s
Painel de testes ativo,Painel de testes ativo,Test panel active
Ponto concedido,Ponto concedido,Point granted
Nível ajustado,Nível ajustado,Level adjusted
Casco restaurado,Casco restaurado,Hull restored
Invulnerabilidade alternada,Invulnerabilidade alternada,Invulnerability toggled
Spawns alternados,Spawns alternados,Spawns toggled
Arena limpa,Arena limpa,Arena cleared
%s DESCONECTOU • A PARTIDA CONTINUA,%s DESCONECTOU • A PARTIDA CONTINUA,%s DISCONNECTED • THE MATCH CONTINUES
APENAS O HOST PODE REINICIAR A PARTIDA,APENAS O HOST PODE REINICIAR A PARTIDA,ONLY THE HOST CAN RESTART THE MATCH
CONSTRUÇÃO ATUAL,CONSTRUÇÃO ATUAL,CURRENT BUILD
Os criadores deste jogo estão juntos há mais de 1 ano,Os criadores deste jogo estão juntos há mais de 1 ano,The creators of this game have been together for over a year
OUT • HALLOWEEN,OUT • HALLOWEEN,OCT • HALLOWEEN
Uma brincadeira visual inspirada no Dia da Mentira.,Uma brincadeira visual inspirada no Dia da Mentira.,A visual prank inspired by April Fools' Day.
Maio • origem do nome e Maia,Maio • origem do nome e Maia,May • name origin and Maia
"Cria uma barreira lilás que absorve 48 pontos de dano durante 7 segundos. No Monthly Colors, Março Lilás representa prevenção ao câncer do colo do útero por meio de informação, vacina contra HPV e exames; o escudo transforma essa ideia de prevenção em proteção direta.","Cria uma barreira lilás que absorve 48 pontos de dano durante 7 segundos. No Monthly Colors, Março Lilás representa prevenção ao câncer do colo do útero por meio de informação, vacina contra HPV e exames; o escudo transforma essa ideia de prevenção em proteção direta.","Creates a purple barrier that absorbs 48 damage for 7 seconds. In Monthly Colors, Purple March represents cervical cancer prevention through information, HPV vaccination, and screening; the shield turns that idea of prevention into direct protection."
ABR • DIA DA TERRA,ABR • DIA DA TERRA,APR • EARTH DAY
"A Lua do Esturjão, apresentada no card de agosto, inspira um disparo profundo que avança como correnteza.","A Lua do Esturjão, apresentada no card de agosto, inspira um disparo profundo que avança como correnteza.",The Sturgeon Moon featured on the August card inspires a deep shot that moves like a current.
Recupera 32 de vida e reduz temporariamente o dano recebido. O Monthly Colors marca o Dia das Mães no calendário de maio e apresenta o mês pelas ideias de proteção e cuidado; a habilidade traduz esse acolhimento em cura e resistência.,Recupera 32 de vida e reduz temporariamente o dano recebido. O Monthly Colors marca o Dia das Mães no calendário de maio e apresenta o mês pelas ideias de proteção e cuidado; a habilidade traduz esse acolhimento em cura e resistência.,Restores 32 health and temporarily reduces incoming damage. Monthly Colors marks Mother's Day in May through ideas of protection and care; the ability translates that welcome into healing and resistance.
Maio Amarelo • prevenção de acidentes,Maio Amarelo • prevenção de acidentes,May Amarelo • accident prevention
A cor clássica do Chromatic Void.,A cor clássica do Chromatic Void.,The classic color of Chromatic Void.
ABR • LUA ROSA,ABR • LUA ROSA,APR • PINK MOON
Outubro • Halloween,Outubro • Halloween,October • Halloween
Julho Verde • cuidado e recomeço,Julho Verde • cuidado e recomeço,July Verde • care and renewal
JUN • AMBIENTE,JUN • AMBIENTE,JUN • ENVIRONMENT
JUN • LUA DE MORANGO,JUN • LUA DE MORANGO,JUN • STRAWBERRY MOON
UPGRADE • EXPERIÊNCIA,UPGRADE • EXPERIÊNCIA,UPGRADE • EXPERIENCE
Um tom neon ligado às campanhas roxas do calendário.,Um tom neon ligado às campanhas roxas do calendário.,A neon hue tied to the calendar's purple campaigns.
Setembro Amarelo • rede de apoio,Setembro Amarelo • rede de apoio,September Amarelo • support network
A fita VHS guarda registros; rebobiná-la simboliza revisitar memórias. O site apresenta o Alzheimer entre as causas do Fevereiro Roxo.,A fita VHS guarda registros; rebobiná-la simboliza revisitar memórias. O site apresenta o Alzheimer entre as causas do Fevereiro Roxo.,The VHS tape stores records; rewinding it symbolizes revisiting memories. The site features Alzheimer's among the Purple February causes.
Abril • Lua Rosa,Abril • Lua Rosa,April • Pink Moon
Março e setembro • equinócios,Março e setembro • equinócios,March and September • equinoxes
Julho • Lua dos Cervos,Julho • Lua dos Cervos,July • Buck Moon
Janeiro • fogos e Ano-Novo,Janeiro • fogos e Ano-Novo,January • fireworks and New Year
Janeiro • origem do nome e Janus,Janeiro • origem do nome e Janus,January • name origin and Janus
LUA DO LOBO,LUA DO LOBO,WOLF MOON
Agosto Dourado • proteção à vida,Agosto Dourado • proteção à vida,August Dourado • protection of life
Agosto Lilás • enfrentamento à violência,Agosto Lilás • enfrentamento à violência,August Purple • fighting violence
JAN • JANUS,JAN • JANUS,JAN • JANUS
Agosto Dourado • proteção e cuidado,Agosto Dourado • proteção e cuidado,August Dourado • protection and care
MAR • ÁGUA,MAR • ÁGUA,MAR • WATER
O fluxo entre inimigo e jogador remete à circulação e à importância da doação de sangue apresentada pelo site.,O fluxo entre inimigo e jogador remete à circulação e à importância da doação de sangue apresentada pelo site.,The flow between enemy and player evokes circulation and the importance of blood donation presented on the site.
LUA DE MORANGO,LUA DE MORANGO,STRAWBERRY MOON
A relação está no respeito às diferentes percepções de mundo; a habilidade não associa capacidades especiais a pessoas autistas.,A relação está no respeito às diferentes percepções de mundo; a habilidade não associa capacidades especiais a pessoas autistas.,The connection lies in respecting different perceptions of the world; the ability does not associate special powers with autistic people.
MAR • MULHERES,MAR • MULHERES,MAR • WOMEN
JUNHO • FESTA JUNINA,JUNHO • FESTA JUNINA,JUNE • JUNE FESTIVAL
MARÇO • DIA MUNDIAL DA ÁGUA,MARÇO • DIA MUNDIAL DA ÁGUA,MARCH • WORLD WATER DAY
LUA ROSA,LUA ROSA,PINK MOON
Crescente bumerangue que causa dano na ida e na volta.,Crescente bumerangue que causa dano na ida e na volta.,A crescent boomerang that deals damage on the way out and back.
Março • Dia Internacional da Mulher,Março • Dia Internacional da Mulher,March • International Women's Day
AGO • LILÁS,AGO • LILÁS,AUG • PURPLE
AGO • DOURADO,AGO • DOURADO,AUG • GOLDEN
As noites longas do solstício de dezembro viram acúmulo de frio e controle progressivo.,As noites longas do solstício de dezembro viram acúmulo de frio e controle progressivo.,The long nights of the December solstice become stacking cold and progressive control.
MAIO • DIA DAS MÃES,MAIO • DIA DAS MÃES,MAY • MOTHER'S DAY
Formas simples e lúdicas celebram a infância.,Formas simples e lúdicas celebram a infância.,"Simple, playful shapes celebrate childhood."
MAI • LUA DAS FLORES,MAI • LUA DAS FLORES,MAY • FLOWER MOON
"Acende uma fogueira por 8 segundos que causa dano contínuo nos inimigos próximos. A página de junho do Monthly Colors usa o dourado das fogueiras, as bandeirinhas e as noites frias como identidade cultural das festas juninas; aqui essa imagem vira uma zona de fogo.","Acende uma fogueira por 8 segundos que causa dano contínuo nos inimigos próximos. A página de junho do Monthly Colors usa o dourado das fogueiras, as bandeirinhas e as noites frias como identidade cultural das festas juninas; aqui essa imagem vira uma zona de fogo.","Lights a bonfire for 8 seconds that continuously damages nearby enemies. The June Monthly Colors page uses golden bonfires, flags, and cold nights as the cultural identity of Brazil's June festivals; here that imagery becomes a fire zone."
Junho Vermelho • solidariedade,Junho Vermelho • solidariedade,June Vermelho • solidariedade
JUN • SOLIDARIEDADE,JUN • SOLIDARIEDADE,JUN • SOLIDARITY
ABRIL AZUL • INCLUSÃO,ABRIL AZUL • INCLUSÃO,BLUE APRIL • INCLUSION
Cura e resistência representam o acolhimento e a proteção associados a maio no site.,Cura e resistência representam o acolhimento e a proteção associados a maio no site.,Healing and resistance represent the welcome and protection associated with May on the site.
LUA DO CAÇADOR,LUA DO CAÇADOR,HUNTER'S MOON
"Espingarda de sete pétalas: curto alcance, baixa cadência e alto dano de perto.","Espingarda de sete pétalas: curto alcance, baixa cadência e alto dano de perto.","Seven-petal shotgun: short range, low fire rate, and high close-range damage."
Setembro • Lua da Colheita,Setembro • Lua da Colheita,September • Harvest Moon
"Desacelera o mundo enquanto a nave mantém sua capacidade de manobra. No Monthly Colors, Abril Azul reforça conscientização sobre o autismo, inclusão e respeito às diferentes formas de perceber o mundo; o foco temporal funciona somente como metáfora visual do jogo.","Desacelera o mundo enquanto a nave mantém sua capacidade de manobra. No Monthly Colors, Abril Azul reforça conscientização sobre o autismo, inclusão e respeito às diferentes formas de perceber o mundo; o foco temporal funciona somente como metáfora visual do jogo.","Slows the world while the ship retains its maneuverability. In Monthly Colors, Blue April promotes autism awareness, inclusion, and respect for different ways of perceiving the world; the time focus is only a visual gameplay metaphor."
Abril • Dia da Mentira,Abril • Dia da Mentira,April • April Fools' Day
JAN • LUA DO LOBO,JAN • LUA DO LOBO,JAN • WOLF MOON
Outubro • Dia das Crianças,Outubro • Dia das Crianças,October • Children's Day
AGO • LUA DO ESTURJÃO,AGO • LUA DO ESTURJÃO,AUG • STURGEON MOON
Abril • Dia da Terra,Abril • Dia da Terra,April • Earth Day
"Planta uma semente de retorno. Se o casco cair, você renasce nela uma vez.","Planta uma semente de retorno. Se o casco cair, você renasce nela uma vez.","Plants a return seed. If the hull fails, you are reborn there once."
DEZ • SOLSTÍCIO,DEZ • SOLSTÍCIO,DEC • SOLSTICE
JAN • ANO NOVO,JAN • ANO NOVO,JAN • NEW YEAR
Dezembro • solstício e Lua Fria,Dezembro • solstício e Lua Fria,December • solstice e Cold Moon
ABR • MENTIRA,ABR • MENTIRA,APR • FOOLS
JUL • VERDE,JUL • VERDE,JUL • GREEN
MAI • CUIDADO,MAI • CUIDADO,MAY • CARE
JAN • BRANCO,JAN • BRANCO,JAN • WHITE
Uma defesa ativa que transforma ruptura em reação.,Uma defesa ativa que transforma ruptura em reação.,An active defense that turns rupture into reaction.
"Prepara a nave e dispara um avanço veloz, invulnerável e com rastro. No Monthly Colors, Maio Amarelo chama atenção para a segurança no trânsito e para a redução de acidentes; no jogo, velocidade exige escolher e controlar a trajetória.","Prepara a nave e dispara um avanço veloz, invulnerável e com rastro. No Monthly Colors, Maio Amarelo chama atenção para a segurança no trânsito e para a redução de acidentes; no jogo, velocidade exige escolher e controlar a trajetória.","Charges the ship and launches a fast, invulnerable dash with a trail. In Monthly Colors, Yellow May promotes road safety and accident reduction; in the game, speed requires choosing and controlling your path."
OUT • CRIANÇAS,OUT • CRIANÇAS,OCT • CHILDREN
Janeiro • periélio,Janeiro • periélio,January • perihelion
Um brilho frio inspirado no vazio espacial.,Um brilho frio inspirado no vazio espacial.,A cold glow inspired by the void of space.
MAI • AMARELO,MAI • AMARELO,MAY • YELLOW
Setembro • primavera e floração,Setembro • primavera e floração,September • spring and blooming
"Cria um período de calma que reduz o dano recebido e regenera vida. No Monthly Colors, Janeiro Branco usa a folha em branco do novo ano para incentivar a reflexão sobre saúde mental, bem-estar e projetos de vida; a aura transforma pausa e autocuidado em proteção.","Cria um período de calma que reduz o dano recebido e regenera vida. No Monthly Colors, Janeiro Branco usa a folha em branco do novo ano para incentivar a reflexão sobre saúde mental, bem-estar e projetos de vida; a aura transforma pausa e autocuidado em proteção.","Creates a period of calm that reduces incoming damage and regenerates health. In Monthly Colors, White January uses the new year's blank page to encourage reflection on mental health, well-being, and life goals; the aura turns pause and self-care into protection."
Some no solo e emerge sob o inimigo marcado.,Some no solo e emerge sob o inimigo marcado.,Burrows underground and emerges beneath the marked enemy.
"Emite uma onda circular que causa dano, empurra e atordoa inimigos próximos. O calendário de março do Monthly Colors destaca o Dia Mundial da Água, criado para lembrar a importância do acesso à água potável; a expansão do poder usa as ondas da água como referência visual.","Emite uma onda circular que causa dano, empurra e atordoa inimigos próximos. O calendário de março do Monthly Colors destaca o Dia Mundial da Água, criado para lembrar a importância do acesso à água potável; a expansão do poder usa as ondas da água como referência visual.","Emits a circular wave that damages, pushes, and stuns nearby enemies. The March Monthly Colors calendar highlights World Water Day and the importance of access to safe water; the expanding power uses water waves as its visual reference."
"Enquanto equipado, dobra toda experiência recebida durante a partida.","Enquanto equipado, dobra toda experiência recebida durante a partida.","While equipped, doubles all experience gained during the run."
"Rouba vida do inimigo mais próximo em até 420 de alcance: causa 28 de dano e transforma 65% do dano causado em cura. No Monthly Colors, Junho Vermelho incentiva a doação regular de sangue para ajudar tratamentos, cirurgias e emergências; a habilidade representa a circulação de vitalidade sem sacrificar a vida do jogador.","Rouba vida do inimigo mais próximo em até 420 de alcance: causa 28 de dano e transforma 65% do dano causado em cura. No Monthly Colors, Junho Vermelho incentiva a doação regular de sangue para ajudar tratamentos, cirurgias e emergências; a habilidade representa a circulação de vitalidade sem sacrificar a vida do jogador.","Drains the nearest enemy within 420 range: deals 28 damage and converts 65% of it into healing. In Monthly Colors, Red June encourages regular blood donation to support treatments, surgeries, and emergencies; the ability represents circulating vitality without sacrificing the player's life."
LUA DA COLHEITA,LUA DA COLHEITA,HARVEST MOON
Outubro Rosa • prevenção,Outubro Rosa • prevenção,October Pink • prevention
JUNHO VERMELHO • DOAÇÃO,JUNHO VERMELHO • DOAÇÃO,RED JUNE • DONATION
JUN • VERMELHO,JUN • VERMELHO,JUN • RED
FEV • ROXO,FEV • ROXO,FEB • PURPLE
LUA DO CASTOR,LUA DO CASTOR,BEAVER MOON
Maio Amarelo • segurança no trânsito,Maio Amarelo • segurança no trânsito,May Amarelo • road safety
"O impulso veloz representa deslocamento, enquanto a direção controlada reforça a atenção defendida pelo Maio Amarelo.","O impulso veloz representa deslocamento, enquanto a direção controlada reforça a atenção defendida pelo Maio Amarelo.","The fast boost represents movement, while controlled direction reinforces the awareness promoted by Yellow May."
Os anéis que se propagam lembram ondas na água e conectam o efeito à data de 22 de março apresentada pelo site.,Os anéis que se propagam lembram ondas na água e conectam o efeito à data de 22 de março apresentada pelo site.,The spreading rings resemble ripples in water and connect the effect to the March 22 date featured on the site.
As pétalas orbitam primeiro e atacam juntas depois.,As pétalas orbitam primeiro e atacam juntas depois.,"The petals orbit first, then attack together."
Uma frente verde transforma o ambiente em chuva ofensiva.,Uma frente verde transforma o ambiente em chuva ofensiva.,A green front turns the environment into offensive rain.
"A chegada da primavera e sua floração, apresentadas no site, viram uma rajada curta e colorida.","A chegada da primavera e sua floração, apresentadas no site, viram uma rajada curta e colorida.","The arrival and blossoming of spring featured on the site become a short, colorful burst."
SET • CUIDADO,SET • CUIDADO,SEP • CARE
OUT • ROSA,OUT • ROSA,OCT • ROSA
NOV • LUA DO CASTOR,NOV • LUA DO CASTOR,NOV • BEAVER MOON
JUN • FESTA JUNINA,JUN • FESTA JUNINA,JUN • JUNE FESTIVAL
FEVEREIRO ROXO • ALZHEIMER,FEVEREIRO ROXO • ALZHEIMER,PURPLE FEBRUARY • ALZHEIMER
MAR/SET • EQUINÓCIO,MAR/SET • EQUINÓCIO,MAR/SEP • EQUINOX
DOBRO DE EXPERIÊNCIA,DOBRO DE EXPERIÊNCIA,DOUBLE EXPERIENCE
"Verde representa recomeço, cuidado e crescimento.","Verde representa recomeço, cuidado e crescimento.","Green represents renewal, care, and growth."
Rajada em cachos que se divide em sementes no impacto.,Rajada em cachos que se divide em sementes no impacto.,A clustered burst that splits into seeds on impact.
Outubro • Lua do Caçador,Outubro • Lua do Caçador,October • Hunter's Moon
A progressão cromática transforma cada vitória em aprendizado acelerado.,A progressão cromática transforma cada vitória em aprendizado acelerado.,Chromatic progression turns every victory into accelerated learning.
"Aumenta velocidade, dano e cadência por alguns segundos, deixando rastros multicoloridos que ferem inimigos. No Monthly Colors, fevereiro apresenta o Carnaval como uma explosão de cor, ritmo e identidade cultural — por isso o poder vira um frenesi neon.","Aumenta velocidade, dano e cadência por alguns segundos, deixando rastros multicoloridos que ferem inimigos. No Monthly Colors, fevereiro apresenta o Carnaval como uma explosão de cor, ritmo e identidade cultural — por isso o poder vira um frenesi neon.","Increases speed, damage, and fire rate for a few seconds, leaving multicolored trails that hurt enemies. In Monthly Colors, February presents Carnival as an explosion of color, rhythm, and cultural identity, so the power becomes a neon frenzy."
JUL • LUA DOS CERVOS,JUL • LUA DOS CERVOS,JUL • BUCK MOON
Uma cor viva inspirada na primavera e no Outubro Rosa.,Uma cor viva inspirada na primavera e no Outubro Rosa.,A vivid color inspired by spring and Pink October.
Uma névoa violeta transforma a cor de conscientização de fevereiro em controle de espaço.,Uma névoa violeta transforma a cor de conscientização de fevereiro em controle de espaço.,A violet mist turns February's awareness color into area control.
ABR • AZUL,ABR • AZUL,APR • BLUE
JANEIRO BRANCO • SAÚDE MENTAL,JANEIRO BRANCO • SAÚDE MENTAL,WHITE JANUARY • MENTAL HEALTH
LUA FRIA,LUA FRIA,COLD MOON
SET • COLHEITA,SET • COLHEITA,SEP • HARVEST
Fogos de Ano Novo representam o encerramento de um ciclo e o começo do próximo.,Fogos de Ano Novo representam o encerramento de um ciclo e o começo do próximo.,New Year's fireworks represent the end of one cycle and the beginning of the next.
O Maio Amarelo chama atenção para segurança e prevenção; o sinalizador usa contagem visível antes do perigo.,O Maio Amarelo chama atenção para segurança e prevenção; o sinalizador usa contagem visível antes do perigo.,Yellow May promotes safety and prevention; the flare uses a visible countdown before danger.
A fogueira e o tom dourado são elementos culturais destacados na página de junho.,A fogueira e o tom dourado são elementos culturais destacados na página de junho.,The bonfire and golden hue are cultural elements highlighted on the June page.
MAI • MAIA,MAI • MAIA,MAY • MAIA
DEZ • LUA FRIA,DEZ • LUA FRIA,DEC • COLD MOON
A proximidade máxima da Terra ao Sol inspira um feixe que intensifica enquanto permanece ativo.,A proximidade máxima da Terra ao Sol inspira um feixe que intensifica enquanto permanece ativo.,Earth's closest approach to the Sun inspires a beam that intensifies while active.
MAIO AMARELO • ATENÇÃO,MAIO AMARELO • ATENÇÃO,YELLOW MAY • AWARENESS
LUA DOS CERVOS,LUA DOS CERVOS,BUCK MOON
LUA DO VERME,LUA DO VERME,WORM MOON
"Rebobina os estados recentes da nave e recupera a vida registrada, como uma fita VHS voltando a uma lembrança gravada. No Monthly Colors, Fevereiro Roxo dá visibilidade ao Alzheimer, ao lúpus e à fibromialgia; a habilidade se relaciona à memória como metáfora de jogo, sem representar cura ou tratamento.","Rebobina os estados recentes da nave e recupera a vida registrada, como uma fita VHS voltando a uma lembrança gravada. No Monthly Colors, Fevereiro Roxo dá visibilidade ao Alzheimer, ao lúpus e à fibromialgia; a habilidade se relaciona à memória como metáfora de jogo, sem representar cura ou tratamento.","Rewinds the ship's recent states and restores recorded health, like a VHS tape returning to a recorded memory. In Monthly Colors, Purple February raises awareness of Alzheimer's, lupus, and fibromyalgia; the ability uses memory as a gameplay metaphor and does not represent a cure or treatment."
Agosto • Lua do Esturjão,Agosto • Lua do Esturjão,August • Sturgeon Moon
MARÇO LILÁS • PREVENÇÃO,MARÇO LILÁS • PREVENÇÃO,PURPLE MARCH • PREVENTION
Uma opção clara inspirada no céu e nas fases da Lua.,Uma opção clara inspirada no céu e nas fases da Lua.,A bright option inspired by the sky and the phases of the Moon.
OUT • LUA DO CAÇADOR,OUT • LUA DO CAÇADOR,OCT • HUNTER'S MOON
O Junho Vermelho ganha uma rajada que se espalha e mantém o combate em movimento.,O Junho Vermelho ganha uma rajada que se espalha e mantém o combate em movimento.,Red June becomes a spreading burst that keeps combat moving.
Três foguetes inteligentes cercam o alvo por ângulos diferentes.,Três foguetes inteligentes cercam o alvo por ângulos diferentes.,Three smart rockets surround the target from different angles.
O brilho acolhedor associado ao Agosto Dourado.,O brilho acolhedor associado ao Agosto Dourado.,The welcoming glow associated with Golden August.
Fevereiro • Lua da Neve,Fevereiro • Lua da Neve,February • Snow Moon
Junho • Lua de Morango,Junho • Lua de Morango,June • Strawberry Moon
JAN • PERIÉLIO,JAN • PERIÉLIO,JAN • PERIHELION
"Segure para carregar um único disparo ondulante, pesado e perfurante.","Segure para carregar um único disparo ondulante, pesado e perfurante.","Hold to charge a single heavy, piercing, wave-like shot."
Proteção presente na campanha do Agosto Dourado.,Proteção presente na campanha do Agosto Dourado.,Protection featured in the Golden August campaign.
SET • LUA DA COLHEITA,SET • LUA DA COLHEITA,SEP • HARVEST MOON
"Instala até quatro sinais que explodem após 5 segundos. Melhorias liberam pavio curto, sensor ou comando remoto.","Instala até quatro sinais que explodem após 5 segundos. Melhorias liberam pavio curto, sensor ou comando remoto.","Deploys up to four flares that explode after 5 seconds. Upgrades unlock a short fuse, proximity sensor, or remote command."
FEVEREIRO • CARNAVAL,FEVEREIRO • CARNAVAL,FEBRUARY • CARNAVAL
"Um presente legível antes de abrir, sem depender apenas da sorte.","Um presente legível antes de abrir, sem depender apenas da sorte.",A gift that can be read before opening instead of relying only on luck.
Setembro • primavera e flores,Setembro • primavera e flores,September • spring and flowers
LUA DO ESTURJÃO,LUA DO ESTURJÃO,STURGEON MOON
"A serenidade, a regeneração e a pausa defensiva traduzem o cuidado com o bem-estar psicológico apresentado pelo site.","A serenidade, a regeneração e a pausa defensiva traduzem o cuidado com o bem-estar psicológico apresentado pelo site.","Serenity, regeneration, and a defensive pause express the care for psychological well-being presented on the site."
Dezembro • Natal,Dezembro • Natal,December • Natal
MAI • FAMÍLIA,MAI • FAMÍLIA,MAY • FAMILY
Monthly Colors • progressão cromática,Monthly Colors • progressão cromática,Monthly Colors • chromatic progression
FEV • LUA DA NEVE,FEV • LUA DA NEVE,FEB • SNOW MOON
Novembro • Lua do Castor,Novembro • Lua do Castor,November • Beaver Moon
Maio • Lua das Flores,Maio • Lua das Flores,May • Flower Moon
Janeiro • Lua do Lobo,Janeiro • Lua do Lobo,January • Wolf Moon
Abril • Páscoa e renovação,Abril • Páscoa e renovação,April • Easter e renewal
